285	Dalton, GA	MSA	142212	142227	-0.01	Chattanooga-Cleveland-Dalton, TN-GA-AL CSA
286	Sebastian-Vero Beach, FL	MSA	141994	138028	2.87	Miami-Fort Lauderdale-Port St. Lucie, FL CSA
287	Rapid City, SD	MSA	141431	134598	5.08	Rapid City-Spearfish, SD CSA
288	Johnstown, PA	MSA	140499	143679	-2.21	Johnstown-Somerset, PA CSA
289	Napa, CA	MSA	140326	136484	2.81	San Jose-San Francisco-Oakland, CA CSA
290	Homosassa Springs, FL	MSA	139271	141236	-1.39	
291	Idaho Falls, ID	MSA	137073	133265	2.86	Idaho Falls-Rexburg-Blackfoot, ID CSA
292	Flagstaff, AZ	MSA	136539	134421	1.58	
293	Springfield, OH	MSA	136167	138333	-1.57	Dayton-Springfield-Sidney, OH CSA
294	Morgantown, WV	MSA	136133	129709	4.95	Morgantown-Fairmont, WV CSA
295	La Crosse-Onalaska, WI-MN	MSA	135512	133665	1.38	
296	Lebanon, PA	MSA	135486	133568	1.44	Harrisburg-York-Lebanon, PA CSA
297	Wausau, WI	MSA	135416	134063	1.01	Wausau-Stevens Point-Wisconsin Rapids, WI CSA
298	Battle Creek, MI	MSA	135012	136146	-0.83	Kalamazoo-Battle Creek-Portage, MI CSA
299	Winchester, VA-WV	MSA	131980	128472	2.73	Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA
300	Lawton, OK	MSA	131089	130291	0.61	
301	Jackson, TN	MSA	130645	130011	0.49	
302	Logan, UT-ID	MSA	129763	125442	3.44	
303	Pittsfield, MA	MSA	129585	131219	-1.25	
304	Sierra Vista-Douglas, AZ	MSA	129473	131346	-1.43	
305	Harrisonburg, VA	MSA	129136	125228	3.12	Harrisonburg-Staunton-Waynesboro, VA CSA
306	Glens Falls, NY	MSA	128430	128923	-0.38	Albany-Schenectady, NY CSA
307	St. Joseph, MO-KS	MSA	127767	127329	0.34	Kansas City-Overland Park-Kansas City, MO-KS CSA
308	New Bern, NC	MSA	127657	126802	0.67	New Bern-Morehead City, NC CSA
